u1,u2,client_code,archetype_label
2.7592578,2.008351,38,Saver / Investor
-0.25621498,1.606904,41,Saver / Investor
2.447269,0.28580397,10,Saver / Investor
-1.0707341,2.01879,58,Saver / Investor
2.3237576,1.7656348,42,Saver / Investor
-0.9276676,1.8160738,40,Saver / Investor
2.7903323,0.65025896,11,Saver / Investor
3.1146657,1.7305522,59,Saver / Investor
6.0164866,-1.1155409,27,Saver / Investor
-1.4096508,0.001973892,19,Saver / Investor
5.723746,-1.582623,56,Saver / Investor
-0.9604239,1.0742102,33,Saver / Investor
0.34621775,0.038154993,12,Saver / Investor
-1.43685,1.6956574,43,Saver / Investor
5.421486,-0.57056195,13,Saver / Investor
5.8628826,-1.6143987,49,Saver / Investor
5.631727,-0.8694767,16,Saver / Investor
6.4228806,-1.4349593,28,Saver / Investor
6.047848,-1.7506107,4,Saver / Investor
-0.960929,2.3979552,15,Saver / Investor
-1.4092032,2.1348853,44,Saver / Investor
2.824989,1.9398133,52,Saver / Investor
-1.7929171,2.044195,14,Saver / Investor
-0.6299793,2.042275,37,Saver / Investor
-1.0449953,2.5659547,46,Saver / Investor
-1.5713402,0.49386576,17,Saver / Investor
-1.3386995,-0.40679395,23,Saver / Investor
2.7550278,0.063405596,8,Saver / Investor
6.656584,-0.74603647,47,Saver / Investor
3.0074923,0.5130487,9,Saver / Investor
-0.56162894,0.12720859,53,Saver / Investor
6.213411,-2.2193239,26,Saver / Investor
-1.3342769,2.3342192,18,Saver / Investor
6.5475297,-2.167758,5,Saver / Investor
-0.04765662,1.8812335,39,Saver / Investor
-1.0297481,-0.1978445,48,Saver / Investor
5.9554873,-2.022797,1,Saver / Investor
-0.30981302,0.17295304,51,Saver / Investor
6.326438,-1.3135275,6,Saver / Investor
2.114675,2.167054,32,Saver / Investor
2.9507115,1.050878,7,Saver / Investor
2.3325238,2.1016736,57,Saver / Investor
2.6410131,1.7835485,50,Saver / Investor
-1.0126276,0.53351843,36,Saver / Investor
6.895796,-1.1905955,29,Saver / Investor
6.4869313,-1.8894436,54,Saver / Investor
-1.6755264,-0.3936664,3,General Spender
-1.7432959,0.093395986,22,Saver / Investor
6.669276,-0.93082577,2,Saver / Investor
2.9839175,2.280097,55,Saver / Investor
1.9160432,1.9062293,35,Saver / Investor
-0.47917032,-0.17443301,31,Saver / Investor
-0.6949669,-0.28586718,25,Saver / Investor
-1.8530508,-0.3437705,60,Saver / Investor
-0.27730256,1.2418087,21,Saver / Investor
6.717259,-1.5220377,30,Saver / Investor
-1.1499554,0.8286963,24,Saver / Investor
4.9652348,-0.9458474,45,General Spender
-1.9812915,-0.122420184,20,Saver / Investor
4.9307747,-0.84323925,34,General Spender
